193.076, 198.657, 5.014,  4.379 False
193.244, 198.657, 5.017,  4.412 False
193.411, 198.656, 5.015,  4.445 False
193.577, 198.656, 4.995,  4.478 False
193.744, 198.655, 4.997,  4.511 False
193.911, 198.655, 5.004,  4.544 False
194.078, 198.654, 5.010,  4.577 False
194.245, 198.654, 5.015,  4.610 False
194.412, 198.653, 5.019,  4.643 False
194.580, 198.653, 5.022,  4.676 False
194.747, 198.652, 5.021,  4.709 False
194.914, 198.652, 5.002,  4.742 False
195.080, 198.651, 4.985,  4.775 False
195.246, 198.650, 4.994,  4.808 False
195.413, 198.650, 5.002,  4.841 False
195.580, 198.649, 5.009,  4.874 False
195.747, 198.649, 5.015,  4.907 False
195.914, 198.648, 5.019,  4.940 False
196.082, 198.648, 5.022,  4.973 False
196.249, 198.648, 5.024,  5.006 False
196.417, 198.647, 5.019,  5.039 False
196.583, 198.647, 4.995,  5.072 False
196.750, 198.647, 4.997,  5.105 False
196.916, 198.646, 5.004,  5.138 False
197.083, 198.646, 5.010,  5.171 False
197.251, 198.646, 5.015,  5.204 False
197.418, 198.645, 5.018,  5.237 False
197.585, 198.645, 5.021,  5.270 False
197.753, 198.644, 5.021,  5.303 False
197.920, 198.644, 5.007,  5.336 False
198.086, 198.644, 4.990,  5.369 False
198.252, 198.643, 4.997,  5.402 False
198.419, 198.643, 5.004,  5.435 False
198.586, 198.643, 5.010,  5.468 False
198.753, 198.643, 5.015,  5.501 False
198.921, 198.642, 5.018,  5.534 False
199.088, 198.642, 5.021,  5.567 False
199.255, 198.642, 5.023,  5.600 False
199.423, 198.642, 5.019,  5.633 False
199.589, 198.641, 5.001,  5.666 False
199.755, 198.641, 4.983,  5.699 False
199.922, 198.641, 4.992,  5.732 False
200.088, 198.641, 5.000,  5.765 False
200.255, 198.641, 5.006,  5.798 False
200.422, 198.641, 5.012,  5.831 False
200.589, 198.641, 5.017,  5.864 False
200.757, 198.641, 5.020,  5.897 False
200.924, 198.641, 5.023,  5.930 False
201.092, 198.641, 5.023,  5.963 False
201.259, 198.641, 5.014,  5.996 False
201.425, 198.641, 4.998,  6.029 False
201.592, 198.641, 5.004,  6.062 False
201.759, 198.641, 5.009,  6.095 False
201.926, 198.641, 5.013,  6.128 False
202.093, 198.641, 5.016,  6.161 False
202.261, 198.641, 5.018,  6.194 False
202.428, 198.641, 5.019,  6.227 False
202.595, 198.641, 5.011,  6.260 False
202.761, 198.640, 4.996,  6.293 False
202.928, 198.640, 5.001,  6.326 False
203.095, 198.640, 5.006,  6.359 False
203.262, 198.640, 5.010,  6.392 False
203.429, 198.640, 5.014,  6.425 False
203.596, 198.640, 5.016,  6.458 False
203.764, 198.640, 5.017,  6.491 False
203.931, 198.640, 5.012,  6.524 False
204.097, 198.640, 4.987,  6.557 False
204.263, 198.640, 4.990,  6.590 False
204.430, 198.640, 4.997,  6.623 False
204.597, 198.640, 5.004,  6.656 False
204.764, 198.640, 5.009,  6.689 False
204.931, 198.640, 5.014,  6.722 False
205.098, 198.640, 5.018,  6.755 False
205.265, 198.641, 5.021,  6.788 False
205.433, 198.641, 5.022,  6.821 False
205.600, 198.641, 5.019,  6.854 False
205.767, 198.641, 5.000,  6.887 False
205.933, 198.641, 4.982,  6.920 False
206.099, 198.641, 4.991,  6.953 False
206.266, 198.641, 4.999,  6.986 False
206.432, 198.641, 5.005,  7.019 False
206.599, 198.642, 5.011,  7.052 False
206.767, 198.642, 5.015,  7.085 False
206.934, 198.642, 5.019,  7.118 False
207.101, 198.642, 5.021,  7.151 False
207.269, 198.642, 5.017,  7.184 False
207.435, 198.642, 4.993,  7.217 False
207.602, 198.643, 4.995,  7.250 False
207.768, 198.643, 5.002,  7.283 False
207.935, 198.643, 5.008,  7.316 False
208.102, 198.643, 5.012,  7.349 False
208.269, 198.643, 5.016,  7.382 False
208.437, 198.643, 5.019,  7.415 False
208.604, 198.643, 5.020,  7.448 False
208.771, 198.644, 5.015,  7.481 False
208.938, 198.644, 4.992,  7.514 False
209.104, 198.644, 4.994,  7.547 False
209.271, 198.644, 5.000,  7.580 False
209.438, 198.644, 5.006,  7.613 False
209.605, 198.644, 5.011,  7.646 False
209.772, 198.645, 5.015,  7.679 False
209.939, 198.645, 5.018,  7.712 False
210.107, 198.645, 5.019,  7.745 False
210.274, 198.645, 5.015,  7.778 False
210.440, 198.645, 4.992,  7.811 False
210.607, 198.645, 4.994,  7.844 False
210.773, 198.645, 5.000,  7.877 False
210.940, 198.646, 5.006,  7.910 False
211.107, 198.646, 5.011,  7.943 False
211.274, 198.646, 5.015,  7.976 False
211.442, 198.646, 5.018,  8.009 False
211.609, 198.646, 5.019,  8.042 False
211.776, 198.646, 5.019,  8.075 False
211.943, 198.647, 5.011,  8.108 False
212.110, 198.647, 4.988,  8.141 False
212.276, 198.647, 4.993,  8.174 False
212.443, 198.647, 4.999,  8.207 False
212.610, 198.647, 5.005,  8.240 False
212.777, 198.647, 5.010,  8.273 False
212.944, 198.647, 5.014,  8.306 False
213.111, 198.648, 5.017,  8.339 False
213.278, 198.648, 5.020,  8.372 False
213.446, 198.648, 5.021,  8.405 False
213.613, 198.648, 5.020,  8.438 False
213.780, 198.648, 5.003,  8.471 False
213.946, 198.649, 4.987,  8.504 False
214.112, 198.649, 4.994,  8.537 False
214.279, 198.649, 5.000,  8.570 False
214.446, 198.649, 5.005,  8.603 False
214.613, 198.649, 5.010,  8.636 False
214.780, 198.649, 5.014,  8.669 False
214.947, 198.650, 5.017,  8.702 False
